date,Solar Irradiation
2015-02-03,5905.0
2015-02-04,5863.0
2015-02-05,1345.0
2015-02-06,7139.0
2015-02-07,3641.0
2015-02-08,6797.0
2015-02-09,7349.0
2015-02-10,3983.0
2015-02-11,967.0
2015-02-12,3531.0
2015-02-13,1325.0
2015-02-14,2211.0
2015-02-15,3449.0
2015-02-16,2395.0
2015-02-17,7390.0
2015-02-18,6123.0
2015-02-19,2186.0
2015-02-20,3751.0
2015-02-21,9492.0
2015-02-22,2608.0
2015-02-23,8616.0
2015-02-24,7627.0
2015-02-25,7568.0
2015-02-26,5249.0
2015-02-27,8761.0
2015-02-28,3566.0
2015-03-01,7230.0
2015-03-02,7843.0
2015-03-03,10427.0
2015-03-04,11708.0
2015-03-05,3846.0
2015-03-06,8629.0
2015-03-07,8965.0
2015-03-08,4460.0
2015-03-09,4219.0
2015-03-10,13416.0
2015-03-11,8299.0
2015-03-12,7359.0
2015-03-13,6179.0
2015-03-14,3244.0
2015-03-15,4449.0
2015-03-16,3146.0
2015-03-17,8763.0
2015-03-18,4775.0
2015-03-19,7568.0
2015-03-20,8673.0
2015-03-21,6457.0
2015-03-22,13239.0
2015-03-23,7565.0
2015-03-24,13228.0
2015-03-25,12858.0
2015-03-26,13561.0
2015-03-27,11188.0
2015-03-28,9636.0
2015-03-29,7499.0
2015-03-30,10676.0
2015-03-31,15915.0
2015-04-01,12646.0
2015-04-02,16820.0
2015-04-03,3718.0
2015-04-04,10300.0
2015-04-05,13629.0
2015-04-06,19689.0
2015-04-07,20109.0
2015-04-08,17952.0
2015-04-09,17978.0
2015-04-10,16727.0
2015-04-11,16304.0
2015-04-12,6875.0
2015-04-13,15859.0
2015-04-14,12159.0
2015-04-15,7616.0
2015-04-16,10232.0
2015-04-17,16937.0
2015-04-18,20643.0
2015-04-19,12355.0
2015-04-20,17208.0
2015-04-21,23148.0
2015-04-22,22481.0
2015-04-23,19160.0
2015-04-24,17120.0
2015-04-25,8524.0
2015-04-26,22421.0
2015-04-27,21172.0
2015-04-28,21484.0
2015-04-29,18289.0
2015-04-30,15708.0
2015-05-01,13776.0
2015-05-02,10278.0
2015-05-03,9325.0
2015-05-04,17965.0
2015-05-05,14302.0
2015-05-06,10745.0
2015-05-07,18085.0
2015-05-08,14965.0
2015-05-09,8241.0
2015-05-10,13875.0
2015-05-11,18610.0
2015-05-12,17892.0
2015-05-13,21327.0
2015-05-14,9327.0
2015-05-15,22525.0
2015-05-16,21971.0
2015-05-17,8581.0
2015-05-18,12523.0
2015-05-19,14930.0
2015-05-20,19141.0
2015-05-21,20944.0
2015-05-22,14889.0
2015-05-23,22551.0
2015-05-24,17860.0
2015-05-25,11405.0
2015-05-26,23320.0
2015-05-27,13399.0
2015-05-28,21219.0
2015-05-29,17561.0
2015-05-30,23785.0
2015-05-31,12269.0
2015-06-01,16993.0
2015-06-02,16532.0
2015-06-03,24984.0
2015-06-04,28443.0
2015-06-05,23851.0
2015-06-06,21938.0
2015-06-07,29213.0
2015-06-08,20556.0
2015-06-09,19906.0
2015-06-10,27687.0
2015-06-11,29227.0
2015-06-12,26955.0
2015-06-13,10988.0
2015-06-14,4835.0
2015-06-15,21252.0
2015-06-16,20369.0
2015-06-17,12426.0
2015-06-18,14223.0
2015-06-19,10213.0
2015-06-20,11702.0
2015-06-21,18400.0
2015-06-22,12988.0
2015-06-23,14978.0
2015-06-24,18576.0
2015-06-25,16427.0
2015-06-26,12790.0
2015-06-27,22214.0
2015-06-28,13557.0
2015-06-29,22726.0
2015-06-30,29307.0
2015-07-01,23042.0
2015-07-02,17231.0
2015-07-03,26464.0
2015-07-04,17389.0
2015-07-05,15271.0
2015-07-06,13496.0
2015-07-07,17202.0
2015-07-08,10081.0
2015-07-09,26572.0
2015-07-10,25597.0
2015-07-11,18132.0
2015-07-12,22409.0
2015-07-13,10039.0
2015-07-14,13669.0
2015-07-15,26948.0
2015-07-16,23969.0
2015-07-17,19754.0
2015-07-18,22201.0
2015-07-19,17428.0
2015-07-20,14159.0
2015-07-21,11289.0
2015-07-22,10433.0
2015-07-23,14012.0
2015-07-24,10676.0
2015-07-25,15424.0
2015-07-26,11659.0
2015-07-27,8269.0
2015-07-28,9185.0
2015-07-29,16408.0
2015-07-30,14678.0
2015-07-31,18105.0
2015-08-01,15618.0
2015-08-02,16234.0
2015-08-03,18903.0
2015-08-04,13211.0
2015-08-05,18293.0
2015-08-06,18261.0
2015-08-07,18930.0
2015-08-08,20944.0
2015-08-09,17068.0
2015-08-10,14605.0
2015-08-11,16025.0
2015-08-12,22582.0
2015-08-13,11731.0
2015-08-14,2495.0
2015-08-15,20574.0
2015-08-16,12926.0
2015-08-17,17342.0
2015-08-18,4334.0
2015-08-19,15593.0
2015-08-20,13029.0
2015-08-21,12424.0
2015-08-22,9945.0
2015-08-23,16986.0
2015-08-24,12796.0
2015-08-25,13959.0
2015-08-26,14856.0
2015-08-27,19576.0
2015-08-28,17780.0
2015-08-29,14695.0
2015-08-30,10545.0
2015-08-31,4593.0
2015-09-01,14169.0
2015-09-02,11304.0
2015-09-03,8125.0
2015-09-04,8356.0
2015-09-05,13568.0
2015-09-06,17930.0
2015-09-07,12211.0
2015-09-08,4951.0
2015-09-09,6353.0
2015-09-10,14707.0
2015-09-11,10588.0
2015-09-12,8151.0
2015-09-13,12947.0
2015-09-14,4222.0
2015-09-15,7784.0
2015-09-16,12460.0
2015-09-17,11295.0
2015-09-18,10365.0
2015-09-19,14744.0
2015-09-20,9134.0
2015-09-21,5056.0
2015-09-22,13267.0
2015-09-23,8768.0
2015-09-24,10585.0
2015-09-25,13949.0
2015-09-26,7236.0
2015-09-27,9726.0
2015-09-28,9773.0
2015-09-29,9256.0
2015-09-30,12509.0
2015-10-01,10478.0
2015-10-02,10761.0
2015-10-03,5165.0
2015-10-04,8190.0
2015-10-05,1591.0
2015-10-06,5885.0
2015-10-07,2277.0
2015-10-08,7843.0
2015-10-09,9881.0
2015-10-10,6466.0
2015-10-11,7823.0
2015-10-12,6053.0
2015-10-13,4300.0
2015-10-14,7547.0
2015-10-15,3723.0
2015-10-16,1624.0
2015-10-17,5309.0
2015-10-18,2468.0
2015-10-19,8502.0
2015-10-20,7082.0
2015-10-21,5768.0
2015-10-22,5778.0
2015-10-23,2882.0
2015-10-24,2901.0
2015-10-25,5918.0
2015-10-26,5957.0
2015-10-27,0.0
2015-10-28,1115.0
2015-10-29,1223.0
2015-10-30,3434.0
2015-10-31,3401.0
2015-11-01,3651.0
2015-11-02,2166.0
2015-11-03,1076.0
2015-11-04,1836.0
2015-11-05,1067.0
2015-11-06,1313.0
2015-11-07,3131.0
2015-11-08,1002.0
2015-11-09,2128.0
2015-11-10,3403.0
2015-11-11,1931.0
2015-11-12,3955.0
2015-11-13,2370.0
2015-11-14,2096.0
2015-11-15,944.0
2015-11-16,4823.0
2015-11-17,1019.0
2015-11-18,1668.0
2015-11-19,2997.0
2015-11-20,3430.0
2015-11-21,4419.0
2015-11-22,3038.0
2015-11-23,2053.0
2015-11-24,1893.0
2015-11-25,3565.0
2015-11-26,2361.0
2015-11-27,1603.0
2015-11-28,1276.0
2015-11-29,1294.0
2015-11-30,665.0
2015-12-01,2144.0
2015-12-02,2245.0
2015-12-03,501.0
2015-12-04,2741.0
2015-12-05,706.0
2015-12-06,1636.0
2015-12-07,2345.0
2015-12-08,2222.0
2015-12-09,1388.0
2015-12-10,1305.0
2015-12-11,1187.0
2015-12-12,287.0
2015-12-13,1460.0
2015-12-14,855.0
2015-12-15,267.0
2015-12-16,848.0
2015-12-17,719.0
2015-12-18,1662.0
2015-12-19,823.0
2015-12-20,2618.0
2015-12-21,1034.0
2015-12-22,683.0
2015-12-23,2895.0
2015-12-24,1334.0
2015-12-25,586.0
2015-12-26,551.0
2015-12-27,2787.0
2015-12-28,1097.0
2015-12-29,2506.0
2015-12-30,450.0
2015-12-31,2253.0
2016-01-01,1344.0
2016-01-02,373.0
2016-01-03,639.0
2016-01-04,526.0
2016-01-05,857.0
2016-01-06,544.0
2016-01-07,424.0
2016-01-08,2311.0
2016-01-09,1456.0
2016-01-10,2476.0
2016-01-11,1106.0
2016-01-12,1932.0
2016-01-13,1909.0
2016-01-14,972.0
2016-01-15,4134.0
2016-01-16,3134.0
2016-01-17,1474.0
2016-01-18,1379.0
2016-01-19,1221.0
2016-01-20,4529.0
2016-01-21,1659.0
2016-01-22,1393.0
2016-01-23,3001.0
2016-01-24,1222.0
2016-01-25,2054.0
2016-01-26,784.0
2016-01-27,2348.0
2016-01-28,3364.0
2016-01-29,4362.0
2016-01-30,2878.0
2016-01-31,1264.0
2016-02-01,4322.0
2016-02-02,4741.0
2016-02-03,6020.0
